"type","designation",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,"street","housenumber","postcode","city","lat","lon"
"Zuschuss","Zuschuss Theaterwerkstatt Pilkentafel",30200,34200,34200,34200,34200,50000,50000,50000,50000,85000,85000,85000,85000,120000,120000,134721,128400,"Pilkentafel","2",24937,"Flensburg","54.790824992821065","9.439165698207937"
"Förderung","Förderung des dänischen Theaterwesens",90300,90300,90300,90300,90300,90300,90300,90300,90300,90300,90300,90300,90300,90300,90300,90300,112000,"Norderstraße","76",24939,"Flensburg","54.793168973728015","9.431438478078887"
"Zuschuss","Zuschuss an Trägerverein NDB",221760,221760,220110,216133,212133,192384,168000,168000,168000,168000,168000,168000,228000,227570,236819,260479,286700,"Augustastraße","5",24937,"Flensburg","54.7856405490066","9.44048521705383"
"Zuschuss","Zuschuss Lille Teater",13800,13800,13800,13800,13800,13800,13800,13800,13800,13800,13800,13800,13800,13800,13800,14766,17000,"Marienstraße","20",24937,"Flensburg","54.78981567943254","9.430010509867726"
"Förderung","Förderung russ.-dt. Bühne",,,,,,,,1000,1000,1000,1000,1000,1000,1000,1000,1070,1000,"Adelbyer Kirchenweg","1",24943,"Flensburg","54.79096279282403","9.44804766876316"
"Zuschuss","Zuschuss an Sydslesvigsk Forening",36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,39483,39500,"Norderstraße","76",24939,"Flensburg","54.793168973728015","9.431438478078887"
"Zuschuss","Zuschuss an Bachchor",0,10000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5400,,,,,
"Förderung","Förderung Volksbad",51400,51400,51400,51400,51400,65000,65000,65000,65000,75000,78000,85500,95000,115000,111500,105000,112400,"Schiffbrücke","67",24939,"Flensburg","54.79580492773012","9.430803130103225"
"Zuschuss","Zuschuss Gesellschaft für Flensbg. Stadtgeschichte",1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,,,,,
"Zuschuss","Zuschuss Kulturwerkstatt Kühlhaus",25700,50700,50700,55700,65700,65000,65000,65000,65000,75000,78000,82000,85000,105000,105000,112350,112400,"Mühlendamm","25",24937,"Flensburg","54.77448418786081","9.440660385530407"
"Zuschuss","Zuschuss Aktivitetshuset",6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,9100,11600,11600,11600,12500,"Nordertraße","49",24939,"Flensburg","54.79164417800861","9.431117911683938"
"Zuschuss","Zuschuss Flensburger Jugendring (bis 2021) / Kindertheater des Monats (ab 2022)",4500,4500,4500,4500,4500,5500,5500,5500,5500,5500,8000,8000,8000,8000,8000,8560,8600,,,,,
"Zuschuss","Zuschuss Kunst & Co",2400,2400,2400,2400,2400,2400,2400,2400,8700,8700,8700,8700,8700,8700,12040,13589,13600,"Klostergang","8a",24937,"Flensburg","54.781801773542114","9.436409788606825"
"Zuschuss","Zuschuss an Bergmühle e.V.",,,3068,1534,1534,1534,1534,,,,,1534,1534,1534,1534,1641,1800,"An der Bergmühle","7",24939,"Flensburg","54.80168822042016","9.419452455884308"
"","Musikerstammtisch Flensburg und Umgebung e.V.",,,,,,,,,,,,,,0,6700,10300,11100,"Gasstr.","10a",24939,"Flensburg","54.79910297948002","9.425705639315742"
"Anschaffungen","Konsumtive Anschaffungen für freie Kultureinrichtungen",,,,,,24910,25000,24959,22126,25000,31846,7943,0,0,511,2106,5000,,,,,
"Zuschuss","Zuschuss Nordisk Informationskontor",,4000,4000,4000,4000,6000,6000,6000,4000,4000,8000,8000,8000,8000,0,0,0,,,,,
